player_name,position,team,proj_fpts,clean_name,depth_chart_order,search_rank,custom_rank,vorp,tier,rank
Jahmyr Gibbs,RB,DET,323.1,jahmyr gibbs,1.0,1.0,1.0,151.20000000000002,Tier 1,1
Bijan Robinson,RB,ATL,320.5,bijan robinson,1.0,1.0,1.5,148.6,Tier 1,2
Josh Allen,QB,BUF,368.8,josh allen,1.0,3.0,2.0,146.9,Tier 1,3
Brock Bowers,TE,LV,303.45,brock bowers,1.0,21.0,11.0,119.69999999999999,Tier 1,4
Lamar Jackson,QB,BAL,340.7,lamar jackson,1.0,11.0,7.0,118.79999999999998,Tier 2,5
Jonathan Taylor,RB,IND,285.4,jonathan taylor,1.0,4.0,4.0,113.49999999999997,Tier 2,6
Drake Maye,QB,NE,328.6,drake maye,1.0,8.0,5.0,106.70000000000002,Tier 3,7
Christian McCaffrey,RB,SF,277.0,christian mccaffrey,1.0,4.0,3.5,105.1,Tier 2,8
James Cook,RB,BUF,274.6,james cook,1.0,5.0,5.0,102.70000000000002,Tier 2,9
Derrick Henry,RB,BAL,270.8,derrick henry,1.0,7.0,6.5,98.9,Tier 2,10
Jalen Hurts,QB,PHI,319.4,jalen hurts,1.0,28.0,16.0,97.49999999999997,Tier 3,11
Puka Nacua,WR,LAR,254.3,puka nacua,1.0,5.0,3.0,95.80000000000001,Tier 1,12
Jayden Daniels,QB,WAS,317.4,jayden daniels,1.0,18.0,12.0,95.49999999999997,Tier 3,13
Ja'Marr Chase,WR,CIN,251.0,jamarr chase,1.0,3.0,2.5,92.5,Tier 1,14
Trey McBride,TE,ARI,273.75,trey mcbride,1.0,22.0,12.0,90.0,Tier 2,15
Joe Burrow,QB,CIN,311.4,joe burrow,1.0,14.0,9.5,89.49999999999997,Tier 3,16
De'Von Achane,RB,MIA,256.3,devon achane,1.0,8.0,9.5,84.4,Tier 3,17
Saquon Barkley,RB,PHI,255.6,saquon barkley,1.0,11.0,9.0,83.69999999999999,Tier 3,18
Brock Purdy,QB,SF,305.40000000000003,brock purdy,1.0,54.0,32.5,83.50000000000003,Tier 4,19
Kenneth Walker,RB,KC,253.70000000000002,kenneth walker,1.0,18.0,13.0,81.80000000000001,Tier 3,20
Dak Prescott,QB,DAL,303.00000000000006,dak prescott,1.0,40.0,24.0,81.10000000000005,Tier 4,21
Trevor Lawrence,QB,JAX,302.59999999999997,trevor lawrence,1.0,41.0,27.5,80.69999999999996,Tier 4,22
Justin Herbert,QB,LAC,299.3,justin herbert,1.0,32.0,21.0,77.4,Tier 4,23
Jaxson Dart,QB,NYG,298.20000000000005,jaxson dart,1.0,38.0,25.0,76.30000000000004,Tier 4,24
Caleb Williams,QB,CHI,297.75,caleb williams,1.0,20.0,13.5,75.85,Tier 4,25
Chase Brown,RB,CIN,247.0,chase brown,1.0,17.0,13.5,75.1,Tier 3,26
Omarion Hampton,RB,LAC,245.29999999999998,omarion hampton,1.0,12.0,10.5,73.39999999999998,Tier 3,27
Bo Nix,QB,DEN,295.19999999999993,bo nix,1.0,43.0,26.0,73.29999999999993,Tier 5,28
Jaxon Smith-Njigba,WR,SEA,230.8,jaxon smithnjigba,1.0,5.0,4.0,72.30000000000001,Tier 2,29
Colston Loveland,TE,CHI,254.8,colston loveland,1.0,35.0,19.0,71.05000000000001,Tier 3,30
Ashton Jeanty,RB,LV,239.3,ashton jeanty,1.0,12.0,13.0,67.4,Tier 3,31
Jared Goff,QB,DET,288.20000000000005,jared goff,1.0,64.0,38.5,66.30000000000004,Tier 5,32
Kyler Murray,QB,MIN,288.05000000000007,kyler murray,1.0,90.0,54.0,66.15000000000006,Tier 5,33
Amon-Ra St. Brown,WR,DET,222.20000000000002,amonra st brown,1.0,7.0,5.5,63.70000000000002,Tier 2,34
Patrick Mahomes,QB,KC,284.0,patrick mahomes,1.0,39.0,27.5,62.099999999999994,Tier 5,35
CeeDee Lamb,WR,DAL,218.20000000000002,ceedee lamb,1.0,10.0,8.5,59.70000000000002,Tier 2,36
Jordan Love,QB,GB,281.09999999999997,jordan love,1.0,65.0,42.0,59.19999999999996,Tier 5,37
Nico Collins,WR,HOU,214.9,nico collins,1.0,23.0,15.5,56.400000000000006,Tier 2,38
Matthew Stafford,QB,LAR,278.25,matthew stafford,1.0,67.0,41.0,56.349999999999994,Tier 5,39
Malik Willis,QB,MIA,276.5,malik willis,1.0,119.0,70.0,54.599999999999994,Tier 5,40
Tyler Warren,TE,IND,237.35000000000002,tyler warren,1.0,47.0,25.5,53.60000000000002,Tier 4,41
Baker Mayfield,QB,TB,274.40000000000003,baker mayfield,1.0,72.0,46.0,52.50000000000003,Tier 5,42
Tyler Shough,QB,NO,271.0,tyler shough,1.0,85.0,51.0,49.099999999999994,Tier 5,43
Javonte Williams,RB,DAL,219.8,javonte williams,1.0,32.0,22.5,47.900000000000006,Tier 4,44
Sam LaPorta,TE,DET,231.25000000000003,sam laporta,1.0,59.0,33.0,47.50000000000003,Tier 4,45
A.J. Brown,WR,NE,202.9,aj brown,1.0,18.0,13.5,44.400000000000006,Tier 3,46
Kyren Williams,RB,LAR,215.60000000000002,kyren williams,1.0,13.0,12.5,43.70000000000002,Tier 4,47
Justin Jefferson,WR,MIN,201.5,justin jefferson,1.0,11.0,8.0,43.0,Tier 3,48
Breece Hall,RB,NYJ,214.8,breece hall,1.0,27.0,21.5,42.900000000000006,Tier 4,49
George Pickens,WR,DAL,200.8,george pickens,2.0,23.0,17.0,42.30000000000001,Tier 3,50
Denver Broncos,DEF,DEN,236.0,denver broncos,1.0,150.0,76.0,42.0,Tier 1,51
Sam Darnold,QB,SEA,263.70000000000005,sam darnold,1.0,92.0,57.0,41.80000000000004,Tier 5,52
Drake London,WR,ATL,199.3,drake london,1.0,18.0,12.0,40.80000000000001,Tier 3,53
David Montgomery,RB,HOU,212.5,david montgomery,1.0,45.0,34.0,40.599999999999994,Tier 4,54
D'Andre Swift,RB,CHI,209.5,dandre swift,1.0,47.0,32.5,37.599999999999994,Tier 4,55
Travis Etienne,RB,NO,208.7,travis etienne,1.0,34.0,26.5,36.79999999999998,Tier 4,56
Houston Texans,DEF,HOU,230.0,houston texans,1.0,151.0,76.0,36.0,Tier 1,57
Quinshon Judkins,RB,CLE,207.20000000000002,quinshon judkins,1.0,45.0,33.5,35.30000000000001,Tier 4,58
Jeremiyah Love,RB,ARI,206.1,jeremiyah love,1.0,15.0,15.0,34.19999999999999,Tier 5,59
Jack Campbell,LB,DET,168.8625,jack campbell,1.0,96.0,96.0,31.4375,Tier 1,60
Chris Olave,WR,NO,189.8,chris olave,1.0,29.0,19.5,31.30000000000001,Tier 3,61
Seattle Seahawks,DEF,SEA,225.0,seattle seahawks,1.0,152.0,77.5,31.0,Tier 1,62
Malik Nabers,WR,NYG,188.4,malik nabers,1.0,26.0,19.5,29.900000000000006,Tier 3,63
Bucky Irving,RB,TB,200.8,bucky irving,1.0,32.0,26.5,28.900000000000006,Tier 5,64
Zay Flowers,WR,BAL,187.10000000000002,zay flowers,1.0,41.0,26.5,28.600000000000023,Tier 3,65
Harold Fannin,TE,CLE,211.79999999999998,harold fannin,1.0,63.0,34.0,28.049999999999983,Tier 5,66
Myles Garrett,DL,LAR,131.275,myles garrett,1.0,84.0,84.0,27.94999999999999,Tier 1,67
DeVonta Smith,WR,PHI,186.3,devonta smith,1.0,32.0,23.5,27.80000000000001,Tier 3,68
Cam Skattebo,RB,NYG,199.4,cam skattebo,1.0,37.0,27.0,27.5,Tier 5,69
Ladd McConkey,WR,LAC,184.8,ladd mcconkey,1.0,35.0,29.5,26.30000000000001,Tier 4,70
Minnesota Vikings,DEF,MIN,220.0,minnesota vikings,1.0,153.0,78.5,26.0,Tier 2,71
Mike Evans,WR,SF,183.2,mike evans,1.0,60.0,43.5,24.69999999999999,Tier 4,72
Emeka Egbuka,WR,TB,183.10000000000002,emeka egbuka,1.0,39.0,29.5,24.600000000000023,Tier 4,73
Tee Higgins,WR,CIN,182.5,tee higgins,2.0,36.0,28.5,24.0,Tier 4,74
Tucker Kraft,TE,GB,206.40000000000003,tucker kraft,1.0,65.0,36.5,22.650000000000034,Tier 5,75
Garrett Wilson,WR,NYJ,180.4,garrett wilson,1.0,38.0,28.5,21.900000000000006,Tier 4,76
Cory Durden,DL,NE,125.0,cory durden,1.0,9999999.0,9999999.0,21.674999999999983,Tier 1,77
Yahya Black,DL,PIT,125.0,yahya black,1.0,9999999.0,9999999.0,21.674999999999983,Tier 1,78
Thomas Booker,DL,LV,125.0,thomas booker,1.0,9999999.0,9999999.0,21.674999999999983,Tier 1,79
Levi Drake Rodriguez,DL,MIN,125.0,levi drake rodriguez,1.0,9999999.0,9999999.0,21.674999999999983,Tier 1,80
Javon Kinlaw,DL,WAS,125.0,javon kinlaw,1.0,700.0,700.0,21.674999999999983,Tier 1,81
Jaylen Waddle,WR,DEN,180.1,jaylen waddle,1.0,42.0,33.5,21.599999999999994,Tier 4,82
C.J. Stroud,QB,HOU,243.45,cj stroud,1.0,100.0,62.0,21.549999999999983,Tier 5,83
Tetairoa McMillan,WR,CAR,179.9,tetairoa mcmillan,1.0,35.0,26.5,21.400000000000006,Tier 4,84
Los Angeles Chargers,DEF,LAC,215.0,los angeles chargers,1.0,154.0,80.5,21.0,Tier 2,85
Kyle Pitts,TE,ATL,202.8,kyle pitts,1.0,69.0,37.5,19.05000000000001,Tier 5,86
Rashee Rice,WR,KC,177.10000000000002,rashee rice,1.0,29.0,23.0,18.600000000000023,Tier 4,87
